City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,salaverry,-8.2333,-78.9667,71.98,83,74,4.97,PE,1708406515
292,tarawa,1.419,172.984,87.89,74,75,16.11,KI,1708406515
293,saint-francois,46.4154,3.9054,44.04,94,75,9.22,FR,1708406516
294,sligo,54.2697,-8.4694,51.69,86,100,18.34,IE,1708406517
295,hamilton,39.1834,-84.5333,36.14,74,0,4.61,US,1708405978
296,hailey,43.5196,-114.3153,28.26,84,0,6.91,US,1708406239
297,mirecourt,48.3009,6.1328,43.83,93,100,6.91,FR,1708406518
298,camocim,-2.9022,-40.8411,77.02,91,100,2.42,BR,1708406519
299,urengoy,65.9667,78.3667,9.39,92,100,18.63,RU,1708406024
300,nagqu,31.5,92.0,32.2,13,9,26.71,CN,1708405990
301,tevriz,57.509,72.4042,-5.13,91,63,7.07,RU,1708406520
302,cabedelo,-6.9811,-34.8339,79.47,81,67,4.65,BR,1708405994
303,howrah,22.5892,88.3103,80.6,78,40,6.91,IN,1708406008
304,brak,27.5496,14.2714,52.07,49,1,7.16,LY,1708406520
305,point fortin,10.1833,-61.6833,73.22,84,93,10.56,TT,1708406521
306,juruti,-2.1522,-56.0922,74.46,80,78,3.4,BR,1708406521
307,djougou,9.7085,1.666,74.34,19,0,2.82,BJ,1708406522
308,nadi,-17.8,177.4167,84.2,84,75,6.91,FJ,1708406353
309,playas,-2.6333,-80.3833,77.2,92,100,5.32,EC,1708406523
310,luanda,-8.8368,13.2343,78.8,89,75,4.61,AO,1708406248
311,childress,34.4264,-100.204,49.93,49,0,9.22,US,1708406523
312,vanimo,-2.6741,141.3028,82.92,79,100,12.08,PG,1708406524
313,kalifornsky,60.4183,-151.29,35.94,98,75,8.05,US,1708406524
314,fortuna,40.5982,-124.1573,52.93,96,100,10.36,US,1708405964
315,vrangel',42.7297,133.0839,21.96,32,20,15.57,RU,1708406526
316,mersin,36.862,34.6509,50.61,61,5,6.04,TR,1708406526
317,taltal,-25.4,-70.4833,68.13,84,74,2.48,CL,1708405994
318,shenkursk,62.1091,42.896,15.06,89,95,11.63,RU,1708406526
319,hithadhoo,-0.6,73.0833,83.03,80,59,10.76,MV,1708405979
320,ballina,-28.8667,153.5667,78.78,64,58,9.04,AU,1708406411
321,saudarkrokur,65.7461,-19.6394,35.85,95,100,9.06,IS,1708405971
322,prince rupert,54.3161,-130.3201,44.29,81,47,21.85,CA,1708406072
323,berezovyy,51.6667,135.7,1.56,54,28,7.43,RU,1708406528
324,kirkuk,35.4681,44.3922,52.12,70,59,4.81,IQ,1708406455
325,riberalta,-10.9833,-66.1,74.39,98,99,2.33,BO,1708406528
326,ust-tsilma,65.441,52.1498,20.61,92,100,8.99,RU,1708406065
327,puerto lempira,15.2667,-83.7667,77.23,68,80,17.92,HN,1708406529
328,ciudad manuel doblado,20.7333,-101.9333,60.48,21,0,1.74,MX,1708406529
329,gadzhiyevo,69.2551,33.3362,22.19,85,90,22.35,RU,1708405994
330,tokar,18.4254,37.729,72.79,60,4,10.78,SD,1708406530
331,gazli,40.1333,63.45,25.52,24,0,1.9,UZ,1708406530
332,letlhakeng,-24.0944,25.0298,69.06,62,32,7.58,BW,1708406531
333,goundi,9.3627,17.366,78.26,22,49,2.21,TD,1708406531
334,tsiombe,-25.3,45.4833,76.26,69,78,8.99,MG,1708406030
335,cascais,38.6979,-9.4215,60.06,82,54,13.0,PT,1708406532
336,mil'kovo,55.6078,37.7956,2.71,100,100,4.05,RU,1708406532
337,imperia,43.9667,7.7833,49.89,78,67,6.85,IT,1708406532
338,la junta,37.985,-103.5438,35.89,64,0,5.75,US,1708406533
339,bardai,11.65,7.2333,69.15,15,0,7.65,NG,1708405970
340,qom,34.6401,50.8764,44.67,59,42,2.26,IR,1708406533
341,valencia de alcantara,39.4115,-7.2444,46.04,91,23,3.18,ES,1708406534
342,kangiwa,12.5521,3.8187,70.48,11,1,9.33,NG,1708406534
343,neosho,36.869,-94.368,45.61,56,49,7.23,US,1708406534
344,camana,-16.6228,-72.7111,73.71,89,99,3.74,PE,1708406056
345,rongelap,11.1635,166.8941,79.77,83,82,16.69,MH,1708405983
346,kletskaya,49.3145,43.0584,18.86,89,31,8.95,RU,1708406536
347,bac giang,21.2667,106.2,77.07,56,91,15.66,VN,1708406536
348,san andres,12.5847,-81.7006,80.28,83,74,22.12,CO,1708406537
349,constantia,44.1833,28.65,38.08,79,19,5.68,RO,1708405973
350,bhag,29.0415,67.8239,70.18,16,0,7.43,PK,1708406539
351,colby,39.3958,-101.0524,35.65,64,0,5.75,US,1708406318
352,axim,4.8699,-2.2405,80.02,91,20,4.32,GH,1708406043
353,taupo,-38.6833,176.0833,68.92,51,3,7.74,NZ,1708406540
354,changji,44.0167,87.3167,-3.21,77,63,4.47,CN,1708406541
355,ivdel',60.6911,60.4206,6.03,92,31,4.0,RU,1708406542
356,karagandy,49.8019,73.1021,-16.65,77,2,11.88,KZ,1708406542
357,san jose,37.3394,-121.895,58.82,82,75,11.01,US,1708406543
358,kingston,17.997,-76.7936,76.24,94,9,2.44,JM,1708405999
359,progreso,21.2833,-89.6667,66.31,77,0,8.88,MX,1708406544
360,port hedland,-20.3167,118.5667,93.25,66,99,10.36,AU,1708406545
361,trairi,-3.2778,-39.2689,76.3,93,100,1.36,BR,1708406309
